entry_time,exit_time,regime,pnl,hours,safety_orders,capital,entry_distance_ema200_pct,entry_ema200_slope_pct
2025-05-03T00:00:00Z,2025-05-04T00:00:00Z,Medium,1.2984999999999858,28,0,100.0,7.836233591422981,0.07881819064274875
2025-05-04T04:00:00Z,2025-05-04T04:00:00Z,Medium,1.2985,4,0,100.0,8.391196969452785,0.08440481953881918
2025-05-04T08:00:00Z,2025-05-08T00:00:00Z,Medium,3.1163999999999943,92,1,240.0,8.848401998119137,0.08900781675935665
2025-05-08T04:00:00Z,2025-05-08T04:00:00Z,Medium,1.2984999999999858,4,0,100.0,8.379714695284957,0.08428922504384317
2025-05-08T08:00:00Z,2025-05-08T16:00:00Z,Medium,3.116399999999966,12,1,240.0,12.785188478443743,0.12865967699140501
2025-05-08T20:00:00Z,2025-05-08T20:00:00Z,High-Bull,1.7979999999999998,4,0,100.0,6.724617111817244,0.067629798561053
2025-05-09T00:00:00Z,2025-05-09T00:00:00Z,High-Bull,1.7979999999999998,4,0,100.0,8.334436809260225,0.08383340554241059
2025-05-09T12:00:00Z,2025-05-10T08:00:00Z,High-Bull,7.839280000000027,24,2,436.0,14.080035939286795,0.14170842750560464
2025-05-10T16:00:00Z,2025-05-10T20:00:00Z,High-Bull,7.839280000000027,8,2,436.0,19.03080483443016,0.19163089181359894
2025-05-11T00:00:00Z,2025-05-11T08:00:00Z,High-Bull,61.841718067200155,12,7,3439.472639999999,19.586152893101172,0.1972340044902321
2025-05-11T12:00:00Z,2025-05-12T08:00:00Z,High-Bull,12.772992000000084,24,3,710.3999999999999,17.025809636289214,0.17140696542639056
2025-05-12T12:00:00Z,2025-05-12T12:00:00Z,Medium,1.2984999999999858,4,0,100.0,15.880565133148373,0.15985881020728065
2025-05-12T16:00:00Z,2025-05-12T16:00:00Z,Medium,1.2984999999999858,4,0,100.0,10.631527622970882,0.10696381417509837
2025-05-12T20:00:00Z,2025-05-12T20:00:00Z,Medium,1.2984999999999858,4,0,100.0,6.7879294067269225,0.06826696804347332
2025-05-13T00:00:00Z,2025-05-13T12:00:00Z,Medium,3.1163999999999374,16,1,240.0,8.813318174867412,0.08865458880256138
2025-05-13T16:00:00Z,2025-05-13T16:00:00Z,Medium,1.2984999999999858,4,0,100.0,6.573542650770903,0.06610943097902222
2025-05-13T20:00:00Z,2025-05-14T16:00:00Z,High-Bull,88.3764052940794,24,8,4915.261695999998,12.414647685426061,0.12492619932602533
2025-05-14T20:00:00Z,2025-05-15T12:00:00Z,High-Bear,29.046925599999987,20,4,2236.96,2.8049999781449175,0.02819890409446746
2025-05-15T16:00:00Z,2025-05-16T04:00:00Z,High-Bear,7.842939999999833,16,2,604.0,0.39227083022157494,0.003942575837156959
2025-05-16T08:00:00Z,2025-05-16T12:00:00Z,High-Bear,15.415791999999993,8,3,1187.2,0.1350369358968262,0.0013571735536066498
2025-05-16T16:00:00Z,2025-05-18T12:00:00Z,Medium,3.1163999999999943,48,1,240.0,-0.8346832907898394,-0.0083880731351349
2025-05-18T16:00:00Z,2025-05-19T16:00:00Z,Medium,5.66146000000002,28,2,436.0,-1.9075039279471961,-0.01916721922097242
2025-05-19T20:00:00Z,2025-05-20T04:00:00Z,High-Bear,3.635799999999988,12,1,280.0,-7.983917899794324,-0.08017604733666639
2025-05-20T08:00:00Z,2025-05-20T12:00:00Z,High-Bear,7.842939999999946,8,2,604.0,-8.684897723166785,-0.08720928327747846
2025-05-20T16:00:00Z,2025-05-20T20:00:00Z,High-Bear,3.6357999999999318,8,1,280.0,-9.258286527127224,-0.09296160678602394
