time,open,high,low,close,volume,trades
2026-04-03T20:00:00Z,308.67,311.4,306.03,308.9,10850.0766,0
2026-04-04T00:00:00Z,308.87,313.77,308.34,310.28,7272.9476,0
2026-04-04T04:00:00Z,310.22,312.36,307.25,309.2,7133.1998,0
2026-04-04T08:00:00Z,309.34,310.16,307.1,307.72,6239.3722,0
2026-04-04T12:00:00Z,307.59,309.93,302.81,303.89,8599.3826551,0
2026-04-04T16:00:00Z,304.05,306.91,303.24,304.28,4684.192,0
2026-04-04T20:00:00Z,304.4,304.82,300.81,301.29,7573.7793,0
2026-04-05T00:00:00Z,301.38,304.07,300.9,303.51,2661.2409,0
2026-04-05T04:00:00Z,303.53,304.66,296.91,298.45,6495.851,0
2026-04-05T08:00:00Z,298.4,301.58,297.94,299.74,4669.6999,0
2026-04-05T12:00:00Z,299.82,300.58,295.32,297.84,7008.7539,0
2026-04-05T16:00:00Z,297.92,298.74,296.02,298.53,5177.9297,0
2026-04-05T20:00:00Z,298.7,310.52,297.83,310.22,10773.6723,0
2026-04-06T00:00:00Z,310.27,314.7,305.56,314.69,6362.6569,0
2026-04-06T04:00:00Z,314.67,321.47,313.75,318.29,4955.18114646,0
2026-04-06T08:00:00Z,318.42,329.9,316.9,322.32,7268.919,0
2026-04-06T12:00:00Z,322.39,326.68,319.19,321.23,6479.0609,0
2026-04-06T16:00:00Z,321.25,323.29,316.41,316.89,2306.8012,0
2026-04-06T20:00:00Z,316.74,318.25,310.0,312.99,2328.3372,0
2026-04-07T00:00:00Z,312.99,315.38,308.8,311.92,6269.0259,0
2026-04-07T04:00:00Z,311.81,314.15,310.13,311.63,7021.8637,0
2026-04-07T08:00:00Z,311.53,319.24,310.72,312.49,10281.3837,0
2026-04-07T12:00:00Z,312.58,315.37,308.01,313.94,11519.8918,0
2026-04-07T16:00:00Z,314.02,317.6,310.0,317.49,13177.9668,0
2026-04-07T20:00:00Z,317.52,344.0,316.4,335.58,20606.8644,0
2026-04-08T00:00:00Z,335.72,345.0,332.84,338.04,10951.7703,0
2026-04-08T04:00:00Z,338.04,347.2,336.14,343.96,14198.3212,0
2026-04-08T08:00:00Z,344.03,351.12,337.89,343.16,10433.0472,0
2026-04-08T12:00:00Z,343.2,348.84,333.47,336.77,13812.322,0
2026-04-08T16:00:00Z,336.77,337.54,328.44,330.61,13469.8097,0
2026-04-08T20:00:00Z,330.66,332.26,322.08,325.25,14144.6643,0
2026-04-09T00:00:00Z,325.1,326.53,319.74,323.1,11194.8393,0
2026-04-09T04:00:00Z,323.12,324.31,318.36,322.66,8783.6812,0
2026-04-09T08:00:00Z,322.65,327.21,321.54,322.73,8497.8445,0
2026-04-09T12:00:00Z,322.75,337.73,320.68,336.82,20397.458,0
2026-04-09T16:00:00Z,336.82,341.16,330.86,337.42,17536.702,0
2026-04-09T20:00:00Z,337.52,340.72,300.34,305.09,29253.0396,0
2026-04-10T00:00:00Z,305.37,307.42,275.24,276.23,93540.0828,0
2026-04-10T04:00:00Z,276.23,278.77,249.04,262.96,67716.17756366,0
2026-04-10T08:00:00Z,262.66,273.77,259.33,263.75,41209.93294072,0
2026-04-10T12:00:00Z,263.67,274.4,258.95,268.67,36085.6564,0
2026-04-10T16:00:00Z,268.7,272.87,264.01,265.79,25270.2784,0
2026-04-10T20:00:00Z,265.66,268.24,255.35,257.73,30138.7167,0
2026-04-11T00:00:00Z,257.76,267.81,253.38,262.8,33992.4667,0
2026-04-11T04:00:00Z,262.86,265.89,259.51,260.82,28994.4614,0
2026-04-11T08:00:00Z,260.82,268.12,258.9,267.02,30853.3864,0
2026-04-11T12:00:00Z,266.99,267.9,261.97,263.62,24876.5756,0
2026-04-11T16:00:00Z,263.64,273.53,262.49,272.01,29335.87,0
2026-04-11T20:00:00Z,272.08,281.2,268.89,273.86,34111.07208377,0
2026-04-12T00:00:00Z,273.8,275.49,260.88,262.96,32315.9937,0
2026-04-12T04:00:00Z,262.97,263.93,260.42,261.34,26952.1076,0
2026-04-12T08:00:00Z,261.36,268.1,261.03,264.95,26544.74430001,0
2026-04-12T12:00:00Z,264.88,264.99,256.92,258.1,29144.077,0
2026-04-12T16:00:00Z,258.05,263.38,257.01,261.6,24071.8033,0
2026-04-12T20:00:00Z,261.61,263.93,257.94,259.38,20999.5157,0
2026-04-13T00:00:00Z,259.48,266.06,258.38,260.08,12422.2594,0
2026-04-13T04:00:00Z,260.04,262.39,257.97,258.59,9110.3294,0
2026-04-13T08:00:00Z,258.56,261.97,257.4,261.39,11596.8371,0
2026-04-13T12:00:00Z,261.46,264.22,253.9,254.27,19454.9914,0
2026-04-13T16:00:00Z,254.25,258.75,250.18,257.77,20818.0006,0
2026-04-13T20:00:00Z,257.71,263.72,253.37,260.8,27015.1399,0
2026-04-14T00:00:00Z,260.84,260.99,253.71,256.67,19359.6565,0
2026-04-14T04:00:00Z,256.69,257.65,251.3,252.44,13604.3627,0
2026-04-14T08:00:00Z,252.39,253.61,247.78,249.93,13401.8118,0
2026-04-14T12:00:00Z,249.86,253.68,246.7,247.76,25317.2869,0
2026-04-14T16:00:00Z,247.74,248.33,237.46,239.95,24438.4865,0
2026-04-14T20:00:00Z,240.03,242.58,238.3,239.24,18618.0556,0
2026-04-15T00:00:00Z,239.22,249.02,237.0,246.77,33311.3543,0
2026-04-15T04:00:00Z,246.8,248.16,242.67,243.14,30515.2042,0
2026-04-15T08:00:00Z,243.13,249.71,242.93,247.8,31561.6396,0
2026-04-15T12:00:00Z,247.79,250.56,244.41,246.47,31037.4036,0
2026-04-15T16:00:00Z,246.5,248.08,243.5,245.36,31402.6581,0
2026-04-15T20:00:00Z,245.46,245.5,240.04,241.67,24885.1261,0
2026-04-16T00:00:00Z,241.65,244.97,239.1,244.3,14555.5527,0
2026-04-16T04:00:00Z,244.29,245.65,241.0,242.38,16677.239,0
2026-04-16T08:00:00Z,242.35,242.55,237.5,239.29,11095.6702,0
2026-04-16T12:00:00Z,239.33,244.54,234.4,241.51,23042.2945,0
2026-04-16T16:00:00Z,241.48,243.9,235.54,243.84,15680.4165,0
2026-04-16T20:00:00Z,243.8,253.35,242.82,252.97,22600.75557521,0
2026-04-17T00:00:00Z,252.97,257.93,249.93,253.27,20201.1768,0
2026-04-17T04:00:00Z,253.31,254.27,244.41,246.25,19472.4406,0
2026-04-17T08:00:00Z,246.24,254.94,245.76,254.94,21221.3935,0
2026-04-17T12:00:00Z,254.99,263.16,251.34,261.97,24333.2336,0
2026-04-17T16:00:00Z,261.95,267.36,257.3,261.98,21409.195,0
2026-04-17T20:00:00Z,262.01,263.43,256.61,257.96,21090.1149,0
2026-04-18T00:00:00Z,257.51,259.5,252.0,253.43,25510.0781,0
2026-04-18T04:00:00Z,253.58,257.82,252.07,255.4,22658.3242,0
2026-04-18T08:00:00Z,255.31,255.64,246.25,248.49,24387.4479,0
2026-04-18T12:00:00Z,248.42,251.78,247.53,248.18,23660.9821,0
2026-04-18T16:00:00Z,248.14,248.68,244.01,245.42,27555.5976,0
2026-04-18T20:00:00Z,245.47,248.0,242.35,243.33,22580.7148,0
2026-04-19T00:00:00Z,243.26,243.43,239.9,241.33,21245.288,0
2026-04-19T04:00:00Z,241.32,244.55,240.0,244.21,24983.6622,0
2026-04-19T08:00:00Z,243.99,249.75,243.09,249.29,26844.2464,0
2026-04-19T12:00:00Z,249.38,250.62,244.39,246.08,27960.1977,0
2026-04-19T16:00:00Z,246.22,246.84,237.96,240.94,27832.8744,0
2026-04-19T20:00:00Z,240.93,244.3,237.68,239.57,22878.8245,0
2026-04-20T00:00:00Z,239.87,244.12,239.58,242.7,15186.9049,0
2026-04-20T04:00:00Z,242.69,246.23,239.64,243.36,14791.5063,0
2026-04-20T08:00:00Z,243.46,245.81,242.55,243.7,13042.3292,0
2026-04-20T12:00:00Z,243.71,245.48,240.23,245.38,10464.7955,0
2026-04-20T16:00:00Z,245.48,249.56,244.8,247.76,15408.9349,0
2026-04-20T20:00:00Z,247.49,248.73,243.68,244.09,22079.7364,0
2026-04-21T00:00:00Z,244.11,246.64,243.4,244.78,28818.7249,0
2026-04-21T04:00:00Z,244.88,247.43,243.67,246.72,22015.5128,0
2026-04-21T08:00:00Z,246.68,249.9,246.59,248.01,18667.3177,0
2026-04-21T12:00:00Z,248.07,248.4,242.35,244.83,12269.3331,0
2026-04-21T16:00:00Z,244.96,245.39,240.45,240.98,12760.5551,0
2026-04-21T20:00:00Z,240.98,245.34,240.66,245.07,14608.0642,0
2026-04-22T00:00:00Z,245.1,247.09,241.62,245.94,11630.6989,0
2026-04-22T04:00:00Z,246.1,249.67,245.78,248.37,11002.7706,0
2026-04-22T08:00:00Z,248.37,249.72,245.28,246.33,11470.4228,0
2026-04-22T12:00:00Z,246.49,248.8,243.45,243.68,15270.147,0
2026-04-22T16:00:00Z,243.74,249.24,243.54,246.05,13691.3024,0
2026-04-22T20:00:00Z,245.92,249.52,244.8,245.71,15929.3723,0
2026-04-23T00:00:00Z,245.82,246.67,241.06,242.61,15134.5882,0
2026-04-23T04:00:00Z,242.6,244.01,241.24,241.99,14227.476,0
2026-04-23T08:00:00Z,242.06,243.91,240.82,243.48,13142.6361,0
2026-04-23T12:00:00Z,243.34,245.96,242.52,244.14,14219.0268,0
2026-04-23T16:00:00Z,244.24,246.93,241.1,245.08,15064.3123,0
2026-04-23T20:00:00Z,244.89,253.41,244.74,252.83,18232.0362,0
2026-04-24T00:00:00Z,252.81,254.92,244.45,245.1,15114.5764,0
2026-04-24T04:00:00Z,245.18,247.9,243.59,245.6,7355.2034,0
2026-04-24T08:00:00Z,245.59,248.78,244.19,248.36,15050.292,0
2026-04-24T12:00:00Z,248.37,249.15,244.61,247.77,15197.5116,0
2026-04-24T16:00:00Z,247.71,251.39,246.31,251.18,12483.5649,0
2026-04-24T20:00:00Z,251.09,252.84,247.81,248.81,15809.9205,0
2026-04-25T00:00:00Z,248.81,250.44,246.92,249.87,13176.0595,0
2026-04-25T04:00:00Z,249.88,252.21,247.25,249.39,13299.3845,0
2026-04-25T08:00:00Z,249.37,251.87,249.35,251.39,12675.5905,0
2026-04-25T12:00:00Z,251.41,253.41,247.81,248.61,14193.296,0
2026-04-25T16:00:00Z,248.62,249.75,245.45,245.96,14738.7121,0
2026-04-25T20:00:00Z,246.03,247.85,245.18,247.83,15283.5351,0
2026-04-26T00:00:00Z,247.82,247.82,244.87,245.87,12550.3404,0
2026-04-26T04:00:00Z,245.53,248.31,245.11,247.36,10260.5931,0
2026-04-26T08:00:00Z,247.44,248.4,245.97,247.77,9178.4793,0
2026-04-26T12:00:00Z,247.79,249.1,245.58,249.1,13698.8051,0
2026-04-26T16:00:00Z,249.13,252.44,247.55,251.77,14352.7895,0
2026-04-26T20:00:00Z,251.79,252.71,248.44,251.34,15315.0658,0
